event_id,date,source,title,summary,url,language,macro_rate_risk,equity_market_risk,geopolitical_fx_risk,primary_tag,reasoning,confidence
seed-20180322-trump-steel-tariff,2018-03-22,manual_seed,트럼프 중국 500억달러 관세 발표 — 미중 무역전쟁 시작,트럼프 대통령 중국산 제품 500억달러 규모 25% 관세 부과 행정명령 서명. 중국 즉각 보복 관세 선언. 글로벌 무역전쟁 공식 개막.,https://en.wikipedia.org/wiki/China%E2%80%93United_States_trade_war,en,0.0,0.66,1.0,geopolitical_fx,미중 무역전쟁 시작 500억달러 관세 공급망 충격,1.0
seed-20180615-us-china-tariff-25pct,2018-06-15,manual_seed,미중 관세 전면전 확대 — 양국 500억달러 맞관세,미국 중국산 500억달러 25% 관세 발동 확정. 중국 동일 규모 보복. S&P 500 -0.9% 반도체·산업재 급락.,https://en.wikipedia.org/wiki/China%E2%80%93United_States_trade_war,en,0.0,0.66,1.0,geopolitical_fx,미중 500억달러 맞관세 무역전쟁 전면전,1.0
seed-20180810-turkey-lira-crisis,2018-08-10,manual_seed,터키 리라 -18% 신흥국 통화 위기 — 달러 강세 확산,트럼프 터키 철강 관세 2배 부과 발표. 터키 리라 하루 -18% 폭락. 신흥국 통화 전반 급락. 원화·EEM 동반 약세.,https://en.wikipedia.org/wiki/2018_Turkish_currency_and_debt_crisis,en,0.33,0.66,1.0,geopolitical_fx,터키 리라 -18% 신흥국 통화위기 달러 강세,1.0
seed-20181219-fed-hike-dovish-pivot,2018-12-19,manual_seed,Fed 금리인상 + 파월 발언 — 12월 증시 폭락 시작,Fed 0.25%p 인상 단행(4회차). 파월 QT 자동조종 발언으로 시장 실망. S&P 500 -1.5% 이후 12월 최악 하락장 진입.,https://en.wikipedia.org/wiki/Federal_funds_rate,en,1.0,0.66,0.0,macro_rate,Fed 금리인상 파월 QT 발언 12월 폭락 트리거,1.0
seed-20190505-trump-tariff-25pct-escalation,2019-05-05,manual_seed,트럼프 중국 관세 25%로 인상 — 무역협상 결렬,트럼프 트위터로 2000억달러 중국산 관세 10%→25% 인상 예고. 협상 결렬. S&P 500 -3.0% 나스닥 반도체 급락.,https://en.wikipedia.org/wiki/China%E2%80%93United_States_trade_war,en,0.0,0.66,1.0,geopolitical_fx,관세 25% 인상 협상 결렬 반도체 급락,1.0
seed-20190814-yield-curve-inversion,2019-08-14,manual_seed,미국 장단기 금리 역전 — 경기침체 시그널,미국 2년물 금리가 10년물 역전(2yr > 10yr). 2007년 이후 처음. 경기침체 공포 확산. S&P 500 -2.9% 채권 랠리.,https://en.wikipedia.org/wiki/Yield_curve,en,0.66,0.66,0.0,macro_rate,장단기 금리역전 경기침체 시그널 S&P -2.9%,1.0
seed-20190917-repo-market-stress,2019-09-17,manual_seed,미국 레포 금리 10% 폭등 — Fed 긴급 유동성 공급,미국 익일물 레포 금리 10%까지 폭등. 단기 달러 유동성 경색. Fed 긴급 레포 오퍼레이션 개입. 2008년 이후 첫 긴급 유동성 공급.,https://en.wikipedia.org/wiki/2019_repo_market_liquidity_crisis,en,0.66,0.33,0.0,macro_rate,레포 금리 10% 폭등 달러 유동성 경색 Fed 긴급 개입,1.0
seed-20200309-oil-war,2020-03-09,manual_seed,사우디-러시아 유가 전쟁 — WTI 25% 폭락,사우디아라비아가 러시아와의 감산 협상 결렬 후 증산 선언. WTI 원유 하루 25% 폭락. 글로벌 증시 동반 급락.,https://en.wikipedia.org/wiki/2020_Russia%E2%80%93Saudi_Arabia_oil_price_war,en,0.33,0.66,1.0,geopolitical_fx,유가 25% 폭락 공급망 충격 사우디-러시아 갈등,1.0
seed-20200312-covid-travel-ban,2020-03-12,manual_seed,트럼프 유럽발 입국 금지 — 코스피 급락,트럼프 대통령 유럽 30개국 입국 금지 발표. 코스피 -4.9% 코로나 패닉 확산. 글로벌 시장 전면 하락.,https://en.wikipedia.org/wiki/COVID-19_pandemic,ko,0.33,1.0,0.66,equity_market,코로나 입국금지 글로벌 패닉 코스피 급락,1.0
seed-20200316-covid-crash,2020-03-16,manual_seed,코로나 패닉 — 미 증시 서킷브레이커 2차 발동,S&P 500 -12% 다우 -2997p 두 번째 서킷브레이커. VIX 82 사상 최고. WHO 팬데믹 선언 이후 글로벌 자산 폭락.,https://en.wikipedia.org/wiki/2020_stock_market_crash,en,0.66,1.0,0.66,equity_market,코로나 패닉 서킷브레이커 VIX 82 S&P -12%,1.0
seed-20200323-fed-qe-infinity,2020-03-23,manual_seed,Fed 무제한 QE 발표 — 시장 바닥 형성,연준이 무제한 양적완화와 회사채 ETF 직접 매입 발표. 전례 없는 정책 전환. 이후 시장 바닥 형성 반등 시작.,https://en.wikipedia.org/wiki/Federal_Reserve_responses_to_the_COVID-19_pandemic,en,1.0,0.66,0.33,macro_rate,Fed 무제한 QE 회사채 매입 정책 대전환,1.0
seed-20200827-fed-ait,2020-08-27,manual_seed,Fed 평균물가목표제(AIT) 도입 — 저금리 장기화 선언,잭슨홀에서 파월 평균물가목표제 도입 발표. 인플레이션 2% 초과 허용 저금리 장기화 신호.,https://en.wikipedia.org/wiki/Average_inflation_targeting,en,0.66,0.33,0.0,macro_rate,Fed AIT 도입 저금리 장기화 정책 전환,1.0
seed-20210127-gamestop,2021-01-27,manual_seed,게임스톱 숏스퀴즈 — 개인투자자 대 헤지펀드,레딧 커뮤니티 주도 숏스퀴즈로 게임스톱 주가 폭등. 멜빈캐피탈 등 헤지펀드 대규모 손실. 시장 변동성 급등.,https://en.wikipedia.org/wiki/GameStop_short_squeeze,en,0.0,0.66,0.0,equity_market,게임스톱 숏스퀴즈 VIX 급등 헤지펀드 손실,1.0
seed-20211130-powell-not-transitory,2021-11-30,manual_seed,파월 의장 transitory 표현 폐기 — 매파 전환,파월 의장 상원 청문회에서 transitory 표현 삭제 선언. 조기 테이퍼링 시사. 성장주 급락 금리 상승 시작.,https://en.wikipedia.org/wiki/2021%E2%80%932023_inflation_surge,en,0.66,0.33,0.0,macro_rate,파월 매파 전환 transitory 폐기 금리 상승,1.0
seed-20211215-fomc-taper,2021-12-15,manual_seed,FOMC 테이퍼링 2배 가속화 — 2022 금리인상 3회 예고,연준 자산매입 축소 속도 2배 가속. 2022년 금리인상 3회 점도표 발표. 성장주 조정 가속.,https://en.wikipedia.org/wiki/Federal_Reserve,en,0.66,0.33,0.0,macro_rate,테이퍼링 가속 금리인상 3회 예고 성장주 조정,1.0
seed-20220105-fomc-minutes-hawkish,2022-01-05,manual_seed,FOMC 의사록 매파적 — 성장주 조정 시작,12월 FOMC 의사록 공개. 예상보다 빠른 대차대조표 축소 시사. 나스닥 -3.3% QQQ 조정 본격화.,https://en.wikipedia.org/wiki/2022_inflation_crisis,en,0.66,0.33,0.0,macro_rate,FOMC 의사록 매파 나스닥 조정 시작,1.0
seed-20220224-russia-ukraine,2022-02-24,manual_seed,러시아 우크라이나 전면 침공 개시,러시아군 우크라이나 전역 군사작전 시작. 국제 유가 배럴당 100달러 돌파. 안전자산 선호 확산.,https://en.wikipedia.org/wiki/Russian_invasion_of_Ukraine,en,0.33,0.66,1.0,geopolitical_fx,전쟁 발발 유가 100달러 안전자산 급등,1.0
seed-20220316-fed-first-hike,2022-03-16,manual_seed,Fed 첫 금리인상 0.25%p — 2018년 이후 첫 인상,코로나 이후 첫 금리인상 단행. 2022년 총 7회 인상 예고. 채권시장 급락 성장주 조정 가속.,https://en.wikipedia.org/wiki/Federal_funds_rate,en,0.66,0.33,0.0,macro_rate,Fed 첫 금리인상 채권 급락 성장주 조정,1.0
seed-20220504-fed-bigstep,2022-05-04,manual_seed,Fed 0.5%p 빅스텝 — 22년 만의 대폭 인상,연준 0.5%p 인상 단행. 22년 만의 대폭 인상. 파월 0.75%p 인상 가능성 배제 발언(나중에 번복).,https://en.wikipedia.org/wiki/Federal_funds_rate,en,1.0,0.66,0.0,macro_rate,Fed 빅스텝 0.5%p 22년만의 대폭 인상,1.0
seed-20220613-cpi-86,2022-06-13,manual_seed,미국 CPI 8.6% — 40년 만의 최고치,5월 미국 CPI 전년비 8.6% 40년 만의 최고치 발표. 예상 크게 상회. S&P 500 -3.9% 나스닥 -4.7%.,https://en.wikipedia.org/wiki/2021%E2%80%932023_inflation_surge,en,1.0,1.0,0.33,macro_rate,CPI 8.6% 40년 최고 시장 충격 S&P -3.9%,1.0
seed-20220615-fomc-75bp,2022-06-15,manual_seed,FOMC 0.75%p 자이언트 스텝 — 22년 만의 충격,22년 만에 0.75%p 인상. 파월 추가 대폭 인상 시사. TLT 연저점 QQQ 연저점. 채권 주식 동반 하락.,https://en.wikipedia.org/wiki/2022_United_States_inflation,en,1.0,0.66,0.33,macro_rate,자이언트 스텝 22년만의 충격 채권 주식 동반 하락,1.0
seed-20220713-bok-bigstep,2022-07-13,manual_seed,한국은행 빅스텝 0.5%p — 사상 첫 0.5%p 인상,한국은행 사상 첫 0.5%p 인상. 기준금리 2.25%. 114260 급락 코스피 -1.5%.,https://www.bok.or.kr/portal/bbs/B0000216/list.do?menuNo=200755,ko,1.0,0.33,0.33,macro_rate,한은 사상첫 빅스텝 114260 급락 코스피 하락,1.0
seed-20220921-fomc-75bp-3rd,2022-09-21,manual_seed,FOMC 0.75%p 3연속 인상 — 최종금리 4.6% 전망,세 번 연속 자이언트 스텝. 점도표 최종금리 4.6%로 상향. S&P -1.7% 2년물 국채 4.1% 돌파.,https://en.wikipedia.org/wiki/Federal_funds_rate,en,1.0,0.66,0.0,macro_rate,3연속 자이언트스텝 최종금리 4.6% 전망,1.0
seed-20220923-uk-mini-budget,2022-09-23,manual_seed,영국 미니예산 위기 — 파운드 사상 최저 폭락,영국 트러스 정부 대규모 감세안 발표. 파운드 달러 패리티 우려 연저점. 영국 국채 금리 폭등.,https://en.wikipedia.org/wiki/2022_United_Kingdom_mini-budget,en,0.66,0.66,1.0,geopolitical_fx,영국 파운드 폭락 국채 급등 글로벌 채권 불안,1.0
seed-20220928-boe-emergency,2022-09-28,manual_seed,영국 BOE 긴급 국채 매입 개입,영국 연기금 마진콜 위기로 BOE 긴급 장기국채 무제한 매입 발표. 글로벌 금융 불안 심화.,https://en.wikipedia.org/wiki/2022_United_Kingdom_mini-budget,en,1.0,0.66,0.66,macro_rate,BOE 긴급 국채 매입 연기금 위기,1.0
seed-20221007-chip-export,2022-10-07,manual_seed,미국 대중 반도체 수출 추가 규제 강화,미국 반도체 장비 수출 통제 대폭 강화. 삼성전자 SK하이닉스 영향권. 코스피 -1.8% 반도체주 급락.,https://en.wikipedia.org/wiki/2022_United_States_export_controls_on_China,ko,0.0,0.66,1.0,geopolitical_fx,반도체 수출 규제 한국 충격 코스피 급락,1.0
seed-20221025-usdkrw-1444,2022-10-25,manual_seed,원/달러 환율 1444원 — 13년 만의 최고치,원/달러 환율 장중 1444원 돌파. 2009년 금융위기 이후 최고치. 외환보유고 급감 우려 자본 유출 가속.,https://en.wikipedia.org/wiki/South_Korean_won,ko,0.33,0.33,1.0,geopolitical_fx,원달러 1444원 13년만의 최고 자본유출,1.0
seed-20221110-cpi-pivot-signal,2022-11-10,manual_seed,미국 CPI 7.7% 예상 하회 — Fed 피벗 기대 급부상,10월 CPI 7.7% 시장 예상 크게 하회. S&P +5.5% 나스닥 +7.4% 역대급 단일 랠리. 금리 인상 속도 조절 기대.,https://en.wikipedia.org/wiki/2021%E2%80%932023_inflation_surge,en,0.66,0.33,0.0,macro_rate,CPI 7.7% 예상 하회 피벗 기대 국면 전환,1.0
seed-20230310-svb-collapse,2023-03-10,manual_seed,실리콘밸리은행(SVB) 파산 — 은행 위기 촉발,SVB 파산. 은행주 폭락 KBW은행지수 -7.7%. VIX 28 돌파. 금리 인상 부작용 현실화.,https://en.wikipedia.org/wiki/Collapse_of_Silicon_Valley_Bank,en,0.66,1.0,0.0,equity_market,SVB 파산 패닉 VIX 28 은행주 폭락,1.0
seed-20230319-cs-ubs,2023-03-19,manual_seed,크레디트스위스 UBS에 강제 인수,스위스 당국 개입으로 크레디트스위스를 UBS에 강제 매각. AT1 채권 전액 상각 충격. 유럽 금융 불안 확산.,https://en.wikipedia.org/wiki/Acquisition_of_Credit_Suisse_by_UBS,en,0.66,1.0,0.33,equity_market,CS 강제 인수 AT1 상각 유럽 금융 불안,1.0
seed-20230801-fitch-downgrade,2023-08-01,manual_seed,Fitch 미국 국가신용등급 강등 — AAA → AA+,Fitch가 미국 신용등급 AAA에서 AA+로 강등. 재정 악화 부채한도 반복 위기 근거. 국채 급락.,https://en.wikipedia.org/wiki/Credit_rating_of_the_United_States,en,0.66,0.66,0.0,macro_rate,Fitch 미국 신용등급 강등 국채 급락,1.0
seed-20231007-hamas-israel,2023-10-07,manual_seed,하마스 이스라엘 기습 공격 — 중동 전쟁 재개,하마스의 대규모 이스라엘 기습. 사망자 1200명 이상. 국제 유가 급등 안전자산 수요 급증.,https://en.wikipedia.org/wiki/2023_Hamas-led_attack_on_Israel,en,0.0,0.66,1.0,geopolitical_fx,하마스 이스라엘 공격 유가 급등 지정학 위기,1.0
seed-20231213-fomc-dovish-pivot,2023-12-13,manual_seed,FOMC 비둘기 전환 — 2024년 금리인하 3회 시사,Fed 점도표 2024년 3회 금리인하 전망. 파월 인하 논의 시작 언급. S&P 사상 최고치 경신 채권 랠리.,https://en.wikipedia.org/wiki/Federal_funds_rate,en,0.66,0.0,0.0,macro_rate,Fed 비둘기 전환 금리인하 3회 시사 국면 전환,1.0
seed-20240805-nikkei-crash,2024-08-05,manual_seed,일본 닛케이 -12% — 역대 최대 단일 하락,엔 캐리 트레이드 급격한 청산. 닛케이 하루 -12.4% 역대 최대 하락. 코스피 -8.8% 서킷브레이커. VIX 65 돌파.,https://en.wikipedia.org/wiki/2024_stock_market_crash,ko,0.33,1.0,0.66,equity_market,엔캐리 청산 닛케이 -12% VIX 65 코스피 서킷브레이커,1.0
seed-20240918-fed-50bp-cut,2024-09-18,manual_seed,Fed 50bp 빅컷 — 피벗 공식화,연준 예상 상회하는 0.5%p 인하 단행. 고용 시장 냉각 우려 반영. 채권 랠리 달러 약세. 인하 사이클 시작.,https://en.wikipedia.org/wiki/Federal_funds_rate,en,0.66,0.0,0.0,macro_rate,Fed 50bp 빅컷 피벗 공식화 채권 랠리,1.0
seed-20241106-trump-win,2024-11-06,manual_seed,트럼프 대선 승리 — 관세·지정학 리스크 재점화,트럼프 대통령 당선. 달러 강세 국채 금리 급등. 대중 관세 60% 멕시코 관세 25% 예고. 반도체 EV 급락.,https://en.wikipedia.org/wiki/2024_United_States_presidential_election,en,0.33,0.33,1.0,geopolitical_fx,트럼프 당선 관세 리스크 달러 강세 지정학,1.0
seed-20250201-trump-canada-mexico-tariff,2025-02-01,manual_seed,트럼프 캐나다·멕시코 25% 관세 발표,트럼프 캐나다·멕시코에 25% 관세 발동 행정명령 서명. 캐나다 달러·멕시코 페소 급락. 무역 전쟁 현실화.,https://en.wikipedia.org/wiki/Trump_tariffs,en,0.33,0.66,1.0,geopolitical_fx,캐나다 멕시코 25% 관세 무역전쟁 공급망 충격,1.0
seed-20250402-liberation-day,2025-04-02,manual_seed,트럼프 해방의 날 — 대규모 상호관세 발동,트럼프 전 세계 상호관세 발동. 중국 54% 한국 25% EU 20%. S&P 500 -4.8% 나스닥 -6.0%. 역대급 관세 충격.,https://en.wikipedia.org/wiki/Trump_tariffs,en,0.33,1.0,1.0,geopolitical_fx,해방의날 상호관세 S&P -4.8% 나스닥 -6%,1.0
seed-20250409-tariff-pause,2025-04-09,manual_seed,트럼프 90일 관세 유예 발표 — 시장 급반등,트럼프 대부분 국가에 90일 관세 유예 발표(중국 제외 145%). S&P +9.5% 사상 최대 단일 상승.,https://en.wikipedia.org/wiki/Trump_tariffs,en,0.0,0.33,0.66,geopolitical_fx,관세 90일 유예 S&P +9.5% 불확실성 지속,1.0
